stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
70,104505,Terminal Campina do Siqueira,303 - Centenário / C. Comprido (Sentido Campo Comprido),-25.435723602407,-49.306998364944,,,0,14506,,
568,190836,"R. Dep. José Hoffmann, 80 - Vista Alegre","R. Dep. José Hoffmann, 80",-25.4086089,-49.29986,,,0,,,
581,110312,Praça Santos Andrade - 150 - C. da Música / Vista Alegre,Praça Santos Andrade 150 - C.Música / V. Alegre,-25.428209687138,-49.265846178539,,,0,,,
597,190896,"R. Eng. Agro. Lauro Klas, 106 - Pilarzinho","R. Eng. Agro. Lauro Klas, 106",-25.398409680381,-49.293254561972,,,0,,,
662,190600,"Rua São Francisco Xavier, 132 - Pilarzinho",166 - Vila Nori (Ponto Final) 167 - Fredolin Wolf (Sentido Nestor de Castro) 188 - Mad. Pilarzinho / Uberaba,-25.389211409326,-49.302757242328,,,0,,,
690,120607,"Rua José Ribeiro de Cristo, 1-119 - Pilarzinho",170 - Bracatinga (Sentido Bracatinga) 188 - Madrugueiro Pilarzinho / Uberaba (Sentido Pilarzinho),-25.382745007551,-49.293668590178,,,0,,,
728,190638,"Rua Tomaz Tessari, 95 - Lamenha Pequena",168 - Raposo Tavares (Ponto Final),-25.357505925976,-49.333239863824,,,0,,,
775,120350,"R. Jorn. Geraldo Russe, 1-79 - Pilarzinho",169 - Jd. Kosmos (Ponto Final),-25.391328615541,-49.294544653373,,,0,,,
806,120317,"Rua Otalino Amado de Souza, 1 - Pilarzinho",170 - Bracatinga (Ponto Final) 188 - Madrugueiro Pilarzinho / Uberaba (Sentido Pilarzinho),-25.381670814559,-49.300806196924,,,0,,,
842,120342,"Rua Domingos Antônio Moro, 1267 - Pilarzinho",171 - Primavera (Ponto Final),-25.378955722683,-49.292597304299,,,0,,,
867,120948,"R. Rolfe Mertens, 42 - Pilarzinho",175 - Bom Retiro / PUC (Ponto Final -Bom Retiro),-25.399735159139,-49.278406019643,,,0,,,
968,120421,"Rua Vereador Wadislau Bugalski, 7683, Alm. Tamandaré - PR",181 - Mateus Leme (Sentido Pça. Tiradentes),-25.368056860065,-49.28498027611,,,0,,,
1133,108024,Estação Central,Estação Central - Sentido Capão Raso / Pça. do Japão 250 - Ligeirão Norte/Sul 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso,-25.429994053636,-49.267617165582,,,0,41775,,
