from_stop_id,to_stop_id,transfer_type,min_transfer_time
14506,70,0,
70,14506,0,
14506,26200,0,
26200,14506,0,
14506,26282,0,
26282,14506,0,
14506,26283,0,
26283,14506,0,
14506,26284,0,
26284,14506,0,
14506,26285,0,
26285,14506,0,
14506,28132,0,
28132,14506,0,
14506,28133,0,
28133,14506,0,
14506,28136,0,
28136,14506,0,
14506,28137,0,
28137,14506,0,
14506,28138,0,
28138,14506,0,
70,26200,0,
26200,70,0,
70,26282,0,
26282,70,0,
70,26283,0,
26283,70,0,
70,26284,0,
26284,70,0,
70,26285,0,
26285,70,0,
70,28132,0,
28132,70,0,
70,28133,0,
28133,70,0,
70,28136,0,
28136,70,0,
70,28137,0,
28137,70,0,
70,28138,0,
28138,70,0,
26200,26282,0,
26282,26200,0,
26200,26283,0,
26283,26200,0,
26200,26284,0,
26284,26200,0,
26200,26285,0,
26285,26200,0,
26200,28132,0,
28132,26200,0,
26200,28133,0,
28133,26200,0,
26200,28136,0,
28136,26200,0,
26200,28137,0,
28137,26200,0,
26200,28138,0,
28138,26200,0,
26282,26283,0,
26283,26282,0,
26282,26284,0,
26284,26282,0,
26282,26285,0,
26285,26282,0,
26282,28132,0,
28132,26282,0,
26282,28133,0,
28133,26282,0,
26282,28136,0,
28136,26282,0,
26282,28137,0,
28137,26282,0,
26282,28138,0,
28138,26282,0,
26283,26284,0,
26284,26283,0,
26283,26285,0,
26285,26283,0,
26283,28132,0,
28132,26283,0,
26283,28133,0,
28133,26283,0,
26283,28136,0,
28136,26283,0,
26283,28137,0,
28137,26283,0,
26283,28138,0,
28138,26283,0,
26284,26285,0,
26285,26284,0,
26284,28132,0,
28132,26284,0,
26284,28133,0,
28133,26284,0,
26284,28136,0,
28136,26284,0,
26284,28137,0,
28137,26284,0,
26284,28138,0,
28138,26284,0,
26285,28132,0,
28132,26285,0,
26285,28133,0,
28133,26285,0,
26285,28136,0,
28136,26285,0,
26285,28137,0,
28137,26285,0,
26285,28138,0,
28138,26285,0,
28132,28133,0,
28133,28132,0,
28132,28136,0,
28136,28132,0,
28132,28137,0,
28137,28132,0,
28132,28138,0,
28138,28132,0,
28133,28136,0,
28136,28133,0,
28133,28137,0,
28137,28133,0,
28133,28138,0,
28138,28133,0,
28136,28137,0,
28137,28136,0,
28136,28138,0,
28138,28136,0,
28137,28138,0,
28138,28137,0,
41775,1133,0,
1133,41775,0,
41824,1150,0,
1150,41824,0,
41885,2039,0,
2039,41885,0,
41752,2654,0,
2654,41752,0,
14524,2676,0,
2676,14524,0,
41862,2725,0,
2725,41862,0,
14492,5346,0,
5346,14492,0,
14492,5452,0,
5452,14492,0,
14492,26255,0,
26255,14492,0,
14492,26257,0,
26257,14492,0,
14492,27079,0,
27079,14492,0,
14492,27121,0,
27121,14492,0,
14492,29631,0,
29631,14492,0,
14492,30008,0,
30008,14492,0,
14492,30010,0,
30010,14492,0,
14492,30011,0,
30011,14492,0,
14492,30013,0,
30013,14492,0,
14492,30019,0,
30019,14492,0,
14492,30020,0,
30020,14492,0,
14492,30523,0,
30523,14492,0,
14492,41542,0,
41542,14492,0,
5346,5452,0,
5452,5346,0,
5346,26255,0,
26255,5346,0,
5346,26257,0,
26257,5346,0,
5346,27079,0,
27079,5346,0,
5346,27121,0,
27121,5346,0,
5346,29631,0,
29631,5346,0,
5346,30008,0,
30008,5346,0,
5346,30010,0,
30010,5346,0,
5346,30011,0,
30011,5346,0,
5346,30013,0,
30013,5346,0,
5346,30019,0,
30019,5346,0,
5346,30020,0,
30020,5346,0,
5346,30523,0,
30523,5346,0,
5346,41542,0,
41542,5346,0,
5452,26255,0,
26255,5452,0,
5452,26257,0,
26257,5452,0,
5452,27079,0,
27079,5452,0,
5452,27121,0,
27121,5452,0,
5452,29631,0,
29631,5452,0,
5452,30008,0,
30008,5452,0,
5452,30010,0,
30010,5452,0,
5452,30011,0,
30011,5452,0,
5452,30013,0,
30013,5452,0,
5452,30019,0,
30019,5452,0,
5452,30020,0,
30020,5452,0,
5452,30523,0,
30523,5452,0,
5452,41542,0,
41542,5452,0,
26255,26257,0,
26257,26255,0,
26255,27079,0,
27079,26255,0,
26255,27121,0,
27121,26255,0,
26255,29631,0,
29631,26255,0,
26255,30008,0,
30008,26255,0,
26255,30010,0,
30010,26255,0,
26255,30011,0,
30011,26255,0,
26255,30013,0,
30013,26255,0,
26255,30019,0,
30019,26255,0,
26255,30020,0,
30020,26255,0,
26255,30523,0,
30523,26255,0,
26255,41542,0,
41542,26255,0,
26257,27079,0,
27079,26257,0,
26257,27121,0,
27121,26257,0,
26257,29631,0,
29631,26257,0,
26257,30008,0,
30008,26257,0,
26257,30010,0,
30010,26257,0,
26257,30011,0,
30011,26257,0,
26257,30013,0,
30013,26257,0,
26257,30019,0,
30019,26257,0,
26257,30020,0,
30020,26257,0,
26257,30523,0,
30523,26257,0,
26257,41542,0,
41542,26257,0,
27079,27121,0,
27121,27079,0,
27079,29631,0,
29631,27079,0,
27079,30008,0,
30008,27079,0,
27079,30010,0,
30010,27079,0,
27079,30011,0,
30011,27079,0,
27079,30013,0,
30013,27079,0,
27079,30019,0,
30019,27079,0,
27079,30020,0,
30020,27079,0,
27079,30523,0,
30523,27079,0,
27079,41542,0,
41542,27079,0,
27121,29631,0,
29631,27121,0,
27121,30008,0,
30008,27121,0,
27121,30010,0,
30010,27121,0,
27121,30011,0,
30011,27121,0,
27121,30013,0,
30013,27121,0,
27121,30019,0,
30019,27121,0,
27121,30020,0,
30020,27121,0,
27121,30523,0,
30523,27121,0,
27121,41542,0,
41542,27121,0,
29631,30008,0,
30008,29631,0,
29631,30010,0,
30010,29631,0,
29631,30011,0,
30011,29631,0,
29631,30013,0,
30013,29631,0,
29631,30019,0,
30019,29631,0,
29631,30020,0,
30020,29631,0,
29631,30523,0,
30523,29631,0,
29631,41542,0,
41542,29631,0,
30008,30010,0,
30010,30008,0,
30008,30011,0,
30011,30008,0,
30008,30013,0,
30013,30008,0,
30008,30019,0,
30019,30008,0,
30008,30020,0,
30020,30008,0,
30008,30523,0,
30523,30008,0,
